Comente,texto_sem_emojis,texto_sem_emojis_limpo
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram","@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir o vc ir atrás pois não resolvem iz um ix errado ra na digitação saiu u estava em outro estado de férias les nada fizeram
A minha liberou hj! Melhor banco de todos 💜,A minha liberou hj! Melhor banco de todos purple_heart,minha liberou hj elhor banco de todos purpleheart
Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! 😕,Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! confused_face,empre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros reais de limite bri uma conta corrente no itau para guardar algumas economias na semana passada e já de início me deram reais de limite no cartão latinum astercard ancos digitais são uma decepção confusedface
"Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank","Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank",guardando uma resposta a altura para os cofrinhos do que agora rende do com limite de mil e na conta padrão ara todos que movimentam ão nos decepcione nubank
"Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.","Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.",ão abram conta nesse banco stou passando por um absurdo com a ubank desde quartafeira inha filha menor de idade abriu a conta através do meu convite com saldo em conta e cartão ativo e repente o aplicativo dela deslogou e não conseguimos mais acessar igamos inúmeras vezes para o atendimento abrimos vários protocolos informamos todos os dados corretamente e mesmo assim dizem que os dados estão errados e desligam na nossa cara á mandaram fazer novo convite como se ela não tivesse já a conta aberta sso é um descaso total inha filha está fora de casa sem conseguir acessar o próprio dinheiro e a ubank não resolve nada éssimo suporte falta de respeito e total despreparo ecepcionante ensem muito bem antes de confiar o seu dinheiro aqui
"@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.","@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.",nubank reocupados a equipe de vocês não resolvem nada tudo isso já fiz
"Mínimo R$50,00 só na Sivra 🤭","Mínimo R$50,00 só na Sivra face_with_hand_over_mouth",ínimo só na ivra facewithhandovermouth
"Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank","Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank",e você quer um relacionamento duradouro e não se ilude com qualquer promessa qui na u somos transparentes com relação ao seu dinheiro orque dinheiro não se brinca emetraiuda elacionamentoério uank
"@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????","@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????",nubank é deveria dá crédito pras pessoas que já pagaramfaz anos que paguei e nada
Conseguiu resolver?,Conseguiu resolver?,onseguiu resolver
Essa caixinha é muito top 💜,Essa caixinha é muito top purple_heart,ssa caixinha é muito top purpleheart
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands
quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta nubank
"@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o","@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o",nubank minha conta foi bloqueada faz três dias e nada do meu estorno quero meu dinheiro pois preciso pagar meu aluguel caso nao for resolvido irei abrir uma reclamação no reclame aqui e um bo
I,I,
Eu não  fico sem  camisa,Eu não  fico sem  camisa,u não fico sem camisa
Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,e a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial as a proposta é segurar anos nao vi vantagem o fundo não há muita vantagem em ser cliente ultravioleta
🍇,grapes,grapes
ØŒ§ß¿,ØŒ§ß¿,
Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,ó queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa pago sempre em dias nunca atraso estou sempre colocando dinheiro na caixinha e nada de aumento uma humilhação isso fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento
Aumento q e bom nada,Aumento q e bom nada,umento q e bom nada
Amo amo amo,Amo amo amo,mo amo amo
Top demais nubank parabéns,Top demais nubank parabéns,op demais nubank parabéns
"@nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de 2 dias úteis para movimentação nas ações. Ja que para ser cliente ultravioleta tem que ter mais de 50 mil investidos por que nao dar a eles crédito da venda das ações em menos tempo? Enfim.... nao vi vantagem em nada....tanto que nem uso o cartão . Pago meu seguro de vida com ele, produto da Nubank e não tem cashbak....mesmo sendo feito por ele. Enfim...... fico por que gosto do app e fo atendimento. O atendimento do ultravioleta é espetacular.....esse sim.","@nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de 2 dias úteis para movimentação nas ações. Ja que para ser cliente ultravioleta tem que ter mais de 50 mil investidos por que nao dar a eles crédito da venda das ações em menos tempo? Enfim.... nao vi vantagem em nada....tanto que nem uso o cartão . Pago meu seguro de vida com ele, produto da Nubank e não tem cashbak....mesmo sendo feito por ele. Enfim...... fico por que gosto do app e fo atendimento. O atendimento do ultravioleta é espetacular.....esse sim.",nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de dias úteis para movimentação nas ações a que para ser cliente ultravioleta tem que ter mais de mil investidos por que nao dar a eles crédito da venda das ações em menos tempo nfim nao vi vantagem em nadatanto que nem uso o cartão ago meu seguro de vida com ele produto da ubank e não tem cashbakmesmo sendo feito por ele nfim fico por que gosto do app e fo atendimento atendimento do ultravioleta é espetacularesse sim
@nubank sou cliente a 4 anos...,@nubank sou cliente a 4 anos...,nubank sou cliente a anos
💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheart
Ameiiii 💜💜💜,Ameiiii purple_heartpurple_heartpurple_heart,meiiii purpleheartpurpleheartpurpleheart
@nubank torcedor eu peço e vcs nunca aumentar meu limite,@nubank torcedor eu peço e vcs nunca aumentar meu limite,nubank torcedor eu peço e vcs nunca aumentar meu limite
Eles nunca aumentar o limite de seus clientes  demora séculos para isso mesmo pagando certinho,Eles nunca aumentar o limite de seus clientes  demora séculos para isso mesmo pagando certinho,les nunca aumentar o limite de seus clientes demora séculos para isso mesmo pagando certinho
@nubank faço sempre isso e nda de aumentar  sempre na mesmo no sair do 400,@nubank faço sempre isso e nda de aumentar  sempre na mesmo no sair do 400,nubank faço sempre isso e nda de aumentar sempre na mesmo no sair do
"As caixinhas não tem mais como ver o rendimento diário, mudou pra ruim eim","As caixinhas não tem mais como ver o rendimento diário, mudou pra ruim eim",s caixinhas não tem mais como ver o rendimento diário mudou pra ruim eim
Eu com cx1 cx2 cx3 super feliz 🩵 Quem diria meu Brasil #nubankbrasil💳💜,Eu com cx1 cx2 cx3 super feliz light_blue_heart Quem diria meu Brasil #nubankbrasilcredit_cardpurple_heart,u com cx cx cx super feliz lightblueheart uem diria meu rasil nubankbrasilcreditcardpurpleheart
É mesmo muito bom 😄,É mesmo muito bom grinning_face_with_smiling_eyes,É mesmo muito bom grinningfacewithsmilingeyes
Minha experiência com o Nu sempre foi ótima agora com o ultravioleta que oferece cartão Mastercard Black com limite mais alto melhorou mais ainda 💜💜💜💜,Minha experiência com o Nu sempre foi ótima agora com o ultravioleta que oferece cartão Mastercard Black com limite mais alto melhorou mais ainda purple_heartpurple_heartpurple_heartpurple_heart,inha experiência com o u sempre foi ótima agora com o ultravioleta que oferece cartão astercard lack com limite mais alto melhorou mais ainda purpleheartpurpleheartpurpleheartpurpleheart
Jákkjsjsb,Jákkjsjsb,ákkjsjsb
"Kzzzz ser n 3allslsoazz,,,😑😑🤗😬😬😑😱🤗😃 de zsmmmkkkzZMZLkkq#№","Kzzzz ser n 3allslsoazz,,,expressionless_faceexpressionless_facesmiling_face_with_open_handsgrimacing_facegrimacing_faceexpressionless_faceface_screaming_in_fearsmiling_face_with_open_handsgrinning_face_with_big_eyes de zsmmmkkkzZMZLkkq#№",zzzz ser n allslsoazzexpressionlessfaceexpressionlessfacesmilingfacewithopenhandsgrimacingfacegrimacingfaceexpressionlessfacefacescreaminginfearsmilingfacewithopenhandsgrinningfacewithbigeyes de zsmmmkkkzkkq
Dkwkkk.  Look jsjJsjskkskksjdnbblálkksskskskksKsKewESsslssÁvccxxz.,Dkwkkk.  Look jsjJsjskkskksjdnbblálkksskskskksKsKewESsslssÁvccxxz.,kwkkk ook jsjsjskkskksjdnbblálkksskskskkssewsslssÁvccxxz
Ms,Ms,s
"@christiankrentkowski Tmj meu parceiro, o mundo precisa de mais pessoas como vc","@christiankrentkowski Tmj meu parceiro, o mundo precisa de mais pessoas como vc",christiankrentkowski mj meu parceiro o mundo precisa de mais pessoas como vc
Como eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais?,Como eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais?,omo eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais
Será q posso pedir outro cartão nubank?  Tou cancelada no crédito.,Será q posso pedir outro cartão nubank?  Tou cancelada no crédito.,erá q posso pedir outro cartão nubank ou cancelada no crédito
"@christiankrentkowski boa explicação, obrigado pela orientação","@christiankrentkowski boa explicação, obrigado pela orientação",christiankrentkowski boa explicação obrigado pela orientação
"Nubank tem resolvido muita coisa na minha vida financeira. Banco sem burocracias, prático sempre buscando a melhor forma  de atender seus clientes. Vocês estão de parabéns!","Nubank tem resolvido muita coisa na minha vida financeira. Banco sem burocracias, prático sempre buscando a melhor forma  de atender seus clientes. Vocês estão de parabéns!",ubank tem resolvido muita coisa na minha vida financeira anco sem burocracias prático sempre buscando a melhor forma de atender seus clientes ocês estão de parabéns
"So falta aumentar o limite pra Guardar na caixinha, 5 mil é muito pouco 🙏🙏","So falta aumentar o limite pra Guardar na caixinha, 5 mil é muito pouco folded_handsfolded_hands",o falta aumentar o limite pra uardar na caixinha mil é muito pouco foldedhandsfoldedhands
Amooo meu roxinho sempre me socorrendo 😍,Amooo meu roxinho sempre me socorrendo smiling_face_with_heart-eyes,mooo meu roxinho sempre me socorrendo smilingfacewithhearteyes
Eu fiz meu cadastro no dia 16 e hoje já é dia 21 e o cadastro ainda não foi totalmente finalizada @nubank,Eu fiz meu cadastro no dia 16 e hoje já é dia 21 e o cadastro ainda não foi totalmente finalizada @nubank,u fiz meu cadastro no dia e hoje já é dia e o cadastro ainda não foi totalmente finalizada nubank
Sempre curtindo 👍,Sempre curtindo thumbs_up,empre curtindo thumbsup
"@bell.de.melo Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️","@bell.de.melo Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm raising_handsred_heart",belldemelo e seguem aí pra mim ajuda oi aranhense crio conteúdo tbm raisinghandsredheart
"@conceicaodemaria935 Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️","@conceicaodemaria935 Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm raising_handsred_heart",conceicaodemaria e seguem aí pra mim ajuda oi aranhense crio conteúdo tbm raisinghandsredheart
"Salário cai na conta, pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu","Salário cai na conta, pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu",alário cai na conta pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu
@nubank graças a Deus pq 1400 nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,@nubank graças a Deus pq 1400 nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,nubank graças a eus pq nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite
"""Guardar qualquer valor"" = limite de 5k","""Guardar qualquer valor"" = limite de 5k",uardar qualquer valor limite de k
Pena que o limite para colocar nessa caixinha é de 5k. E ate quando vai durar essa caixinha só esse mês mesmo?,Pena que o limite para colocar nessa caixinha é de 5k. E ate quando vai durar essa caixinha só esse mês mesmo?,ena que o limite para colocar nessa caixinha é de k ate quando vai durar essa caixinha só esse mês mesmo
"@nubank obrigado por responder, bom saber disso!","@nubank obrigado por responder, bom saber disso!",nubank obrigado por responder bom saber disso
"Nubank, passei vergonha no mercado porque o cartão não queria passar.","Nubank, passei vergonha no mercado porque o cartão não queria passar.",ubank passei vergonha no mercado porque o cartão não queria passar
@vivinato1 (Obs: eu tinha dinheiro),@vivinato1 (Obs: eu tinha dinheiro),vivinato bs eu tinha dinheiro
Eu quero um carrão de créditos 😢,Eu quero um carrão de créditos crying_face,u quero um carrão de créditos cryingface
NuCel 120% CDI 🚀,NuCel 120% CDI rocket,uel rocket
Melhor branco do mundo,Melhor branco do mundo,elhor branco do mundo
Red bul não dá asas,Red bul não dá asas,ed bul não dá asas
"@nubank Fiz todos esses passos nada a ser resolvido, estou com vários protocolos de ligação no email tentando resolver essa situação, j são 7 a 8 dias sem ter acesso no meu aplicativo, Tenho compromisso dia 8  e não sei mais o que fazer, pois vcs não resolveram nada até agora, aí vai sobrar tudo pro meu lado, juro e juros se eu não pág no dia certo","@nubank Fiz todos esses passos nada a ser resolvido, estou com vários protocolos de ligação no email tentando resolver essa situação, j são 7 a 8 dias sem ter acesso no meu aplicativo, Tenho compromisso dia 8  e não sei mais o que fazer, pois vcs não resolveram nada até agora, aí vai sobrar tudo pro meu lado, juro e juros se eu não pág no dia certo",nubank iz todos esses passos nada a ser resolvido estou com vários protocolos de ligação no email tentando resolver essa situação j são a dias sem ter acesso no meu aplicativo enho compromisso dia e não sei mais o que fazer pois vcs não resolveram nada até agora aí vai sobrar tudo pro meu lado juro e juros se eu não pág no dia certo
"@nubank  já liguei e não adianta, tô ligando todos os dias e nada é resolvido","@nubank  já liguei e não adianta, tô ligando todos os dias e nada é resolvido",nubank já liguei e não adianta tô ligando todos os dias e nada é resolvido
"@igorc88 Tô achando que isso já tá virando sacanagem, não é possível, nada é resolvido","@igorc88 Tô achando que isso já tá virando sacanagem, não é possível, nada é resolvido",igorc ô achando que isso já tá virando sacanagem não é possível nada é resolvido
"@leitebeatryz Se ué ti falar que o meu tá assim tem uns 8 dias, e ninguém resolve nada,  passo o dia Todo ligando e só falam que tá com problema o app que em breve volta ao normal","@leitebeatryz Se ué ti falar que o meu tá assim tem uns 8 dias, e ninguém resolve nada,  passo o dia Todo ligando e só falam que tá com problema o app que em breve volta ao normal",leitebeatryz e ué ti falar que o meu tá assim tem uns dias e ninguém resolve nada passo o dia odo ligando e só falam que tá com problema o app que em breve volta ao normal
@sandrasantosgabriel035 colega o meu está sem atualização de pagamento desde o dia 16 de Dezembro eles sujaram o meu nome por um erro do aplicativo,@sandrasantosgabriel035 colega o meu está sem atualização de pagamento desde o dia 16 de Dezembro eles sujaram o meu nome por um erro do aplicativo,sandrasantosgabriel colega o meu está sem atualização de pagamento desde o dia de ezembro eles sujaram o meu nome por um erro do aplicativo
"@leitebeatryz Meu Deus, tenho contas a pág dia 8 e não tenho acesso na minha conta, meu Deus como faz pra processar esse banco, alguém sabe como fazer, tá difícil o acesso, e vai sobrar tudo pro meu rabo, não vou conseguir pág minhas contas","@leitebeatryz Meu Deus, tenho contas a pág dia 8 e não tenho acesso na minha conta, meu Deus como faz pra processar esse banco, alguém sabe como fazer, tá difícil o acesso, e vai sobrar tudo pro meu rabo, não vou conseguir pág minhas contas",leitebeatryz eu eus tenho contas a pág dia e não tenho acesso na minha conta meu eus como faz pra processar esse banco alguém sabe como fazer tá difícil o acesso e vai sobrar tudo pro meu rabo não vou conseguir pág minhas contas
@sandrasantosgabriel035 estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,@sandrasantosgabriel035 estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,sandrasantosgabriel estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação
Reclame aqui de vocês não funcionam né ?,Reclame aqui de vocês não funcionam né ?,eclame aqui de vocês não funcionam né
"@deisitielypeixoto Vou fazer a mesma coisa, tenho pág agora dia 8 e não vou conseguir pág, já que ninguém resolve nada então foda-se empréstimo e fatura de cartão, cansei de ligar pra lá","@deisitielypeixoto Vou fazer a mesma coisa, tenho pág agora dia 8 e não vou conseguir pág, já que ninguém resolve nada então foda-se empréstimo e fatura de cartão, cansei de ligar pra lá",deisitielypeixoto ou fazer a mesma coisa tenho pág agora dia e não vou conseguir pág já que ninguém resolve nada então fodase empréstimo e fatura de cartão cansei de ligar pra lá
"@leitebeatryz não adianta ligar não resolve nada, então vou deixar pra lá, já que tenho fatura e empréstimo a pág dia 8, então foda - se não vou conseguir pág mesmo, porque já fazais de uma semana","@leitebeatryz não adianta ligar não resolve nada, então vou deixar pra lá, já que tenho fatura e empréstimo a pág dia 8, então foda - se não vou conseguir pág mesmo, porque já fazais de uma semana",leitebeatryz não adianta ligar não resolve nada então vou deixar pra lá já que tenho fatura e empréstimo a pág dia então foda se não vou conseguir pág mesmo porque já fazais de uma semana
nubank me patrocina....tenho um Jetta roxo perfeito kkkk,nubank me patrocina....tenho um Jetta roxo perfeito kkkk,nubank me patrocinatenho um etta roxo perfeito kkkk
Time virada com a galeraaaa,Time virada com a galeraaaa,ime virada com a galeraaaa
"Pessimista banco , horrível gente não usem . Encerraram minha conta e agora toda vez quando alguém faz um pix , aparece suspeita de fraude","Pessimista banco , horrível gente não usem . Encerraram minha conta e agora toda vez quando alguém faz um pix , aparece suspeita de fraude",essimista banco horrível gente não usem ncerraram minha conta e agora toda vez quando alguém faz um pix aparece suspeita de fraude
Sofá com certeza 😂😂😂,Sofá com certeza face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,ofá com certeza facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
👏👏,clapping_handsclapping_hands,clappinghandsclappinghands
👏,clapping_hands,clappinghands
🤙🤙🤙🤙,call_me_handcall_me_handcall_me_handcall_me_hand,callmehandcallmehandcallmehandcallmehand
👏❤️👏,clapping_handsred_heartclapping_hands,clappinghandsredheartclappinghands
@nubank esse aplicativo não vai mais voltar a funcionar que falta de respeito com os clientes.,@nubank esse aplicativo não vai mais voltar a funcionar que falta de respeito com os clientes.,nubank esse aplicativo não vai mais voltar a funcionar que falta de respeito com os clientes
"Não consigo acessar, dá erro","Não consigo acessar, dá erro",ão consigo acessar dá erro
Encerrando minha conta .,Encerrando minha conta .,ncerrando minha conta
Já fiz isso mil vezes e nada!,Já fiz isso mil vezes e nada!,á fiz isso mil vezes e nada
"@nubank eu tento entrar no aplicativo e dá erro, nem o login aparece, fica parecendo nubank business.","@nubank eu tento entrar no aplicativo e dá erro, nem o login aparece, fica parecendo nubank business.",nubank eu tento entrar no aplicativo e dá erro nem o login aparece fica parecendo nubank business
o app ja caiu dnv? plmds,o app ja caiu dnv? plmds,o app ja caiu dnv plmds
Hoje dia 31/12 não tô conseguindo acessar meu app tá dando erro,Hoje dia 31/12 não tô conseguindo acessar meu app tá dando erro,oje dia não tô conseguindo acessar meu app tá dando erro
@nubank consegui desinstalando e instalando de novo. Obrigada ❤️,@nubank consegui desinstalando e instalando de novo. Obrigada red_heart,nubank consegui desinstalando e instalando de novo brigada redheart
estamos todos na mesma 😢 meu aplicativo também tá dando erro não consigo acessar meu aplicativo,estamos todos na mesma crying_face meu aplicativo também tá dando erro não consigo acessar meu aplicativo,estamos todos na mesma cryingface meu aplicativo também tá dando erro não consigo acessar meu aplicativo
@gatiere eu também estou com esse problema!!!,@gatiere eu também estou com esse problema!!!,gatiere eu também estou com esse problema
@nubank parem de respostas automáticas e ajeite nosso aplicativo!!!,@nubank parem de respostas automáticas e ajeite nosso aplicativo!!!,nubank parem de respostas automáticas e ajeite nosso aplicativo
"@nubank apenas ajeite nosso aplicativo, estamos sendo prejudicados.","@nubank apenas ajeite nosso aplicativo, estamos sendo prejudicados.",nubank apenas ajeite nosso aplicativo estamos sendo prejudicados
@nubank traga nosso aplicativo de volta.,@nubank traga nosso aplicativo de volta.,nubank traga nosso aplicativo de volta
@nubank o aplicativo vai voltar a funcionar que horas?,@nubank o aplicativo vai voltar a funcionar que horas?,nubank o aplicativo vai voltar a funcionar que horas
"@bellamartincare A ""orientação"" é sempre a mesma. Resolver que é bom nada.","@bellamartincare A ""orientação"" é sempre a mesma. Resolver que é bom nada.",bellamartincare orientação é sempre a mesma esolver que é bom nada
"@gatiere o meu também, nunca deu problema, agora que eu comecei a juntar dinheiro na caixinha estão me impedindo de mexer. Já faz 4 dias que não consigo abrir o app","@gatiere o meu também, nunca deu problema, agora que eu comecei a juntar dinheiro na caixinha estão me impedindo de mexer. Já faz 4 dias que não consigo abrir o app",gatiere o meu também nunca deu problema agora que eu comecei a juntar dinheiro na caixinha estão me impedindo de mexer á faz dias que não consigo abrir o app
@ellenrabeloe por acaso você começou a juntar dinheiro na caixinha?  Ou tem bastante dinheiro na conta??,@ellenrabeloe por acaso você começou a juntar dinheiro na caixinha?  Ou tem bastante dinheiro na conta??,ellenrabeloe por acaso você começou a juntar dinheiro na caixinha u tem bastante dinheiro na conta
