Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en
@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta isso,Nubank customers of your can not perform and receive pix or transfers of high values ​​if you do not cancel the account
💜💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart
Devolva o meu dinheiro,Devolva o meu dinheiro,evolva o meu dinheiro,Evolve my money
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram","@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir o vc ir atrás pois não resolvem iz um ix errado ra na digitação saiu u estava em outro estado de férias les nada fizeram,Nataliasooranzo they will ask you to go behind because they do not solve iz a wrong ix ra on typing it came out u was in another state of vacation les nothing did
A minha liberou hj! Melhor banco de todos 💜,A minha liberou hj! Melhor banco de todos purple_heart,minha liberou hj elhor banco de todos purpleheart,my released hj elhor bank of all purpleheart
Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! 😕,Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! confused_face,empre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros reais de limite bri uma conta corrente no itau para guardar algumas economias na semana passada e já de início me deram reais de limite no cartão latinum astercard ancos digitais são uma decepção confusedface,I employed the invoices up to date and in advance and I could never leave the reais of boundary beri a checking account in Itau to save some economies last week and at the beginning gave me reais on the Latinum Astercard Digital Ancos card are a confused disappointment.
"Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank","Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank",guardando uma resposta a altura para os cofrinhos do que agora rende do com limite de mil e na conta padrão ara todos que movimentam ão nos decepcione nubank,keeping a response to the height for the piglets of what now yields from the limit of a thousand and in the standard account Ara all who move us to disappoint us nubank
"Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.","Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.",ão abram conta nesse banco stou passando por um absurdo com a ubank desde quartafeira inha filha menor de idade abriu a conta através do meu convite com saldo em conta e cartão ativo e repente o aplicativo dela deslogou e não conseguimos mais acessar igamos inúmeras vezes para o atendimento abrimos vários protocolos informamos todos os dados corretamente e mesmo assim dizem que os dados estão errados e desligam na nossa cara á mandaram fazer novo convite como se ela não tivesse já a conta aberta sso é um descaso total inha filha está fora de casa sem conseguir acessar o próprio dinheiro e a ubank não resolve nada éssimo suporte falta de respeito e total despreparo ecepcionante ensem muito bem antes de confiar o seu dinheiro aqui,Open this bank was going through an absurdity with Ubank since Wednesday I was a minor daughter opened the bill through my invitation with an account and active card and suddenly the application has shifted and we can no longer access the service we opened several protocols we inform all the data correctly and still say that the data is wrong and shut down in our face. The open account is a total neglect of daughter is away from home without being able to access its money and Ubank does not solve anything is such a support lack of respect and total unpreparedness and eciently teach well before trusting your money here
"@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.","@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.",nubank reocupados a equipe de vocês não resolvem nada tudo isso já fiz,Nubank reoccuped your team doesn't solve all of this I've done
"Mínimo R$50,00 só na Sivra 🤭","Mínimo R$50,00 só na Sivra face_with_hand_over_mouth",ínimo só na ivra facewithhandovermouth,just in Ivra FaceWithhandoverout
"Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank","Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank",e você quer um relacionamento duradouro e não se ilude com qualquer promessa qui na u somos transparentes com relação ao seu dinheiro orque dinheiro não se brinca emetraiuda elacionamentoério uank,And you want a lasting relationship and don't deceive yourself with any promise qui in u We are transparent about your money orque money you don't play emetrauda elacation
"@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????","@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????",nubank é deveria dá crédito pras pessoas que já pagaramfaz anos que paguei e nada,Nubank is should give credit to people who have already paid for years that I paid and nothing
Conseguiu resolver?,Conseguiu resolver?,onseguiu resolver,It was to resolve
Essa caixinha é muito top 💜,Essa caixinha é muito top purple_heart,ssa caixinha é muito top purpleheart,ssa box is very top purpleheart
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands
quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta nubank,I want my money back Nubank
"@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o","@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o",nubank minha conta foi bloqueada faz três dias e nada do meu estorno quero meu dinheiro pois preciso pagar meu aluguel caso nao for resolvido irei abrir uma reclamação no reclame aqui e um bo,Nubank my account has been blocked three days ago and nothing of my reversal I want my money because I need to pay my rent if I am not resolved I will open a complaint in the complaint here and a bo
I,I,,
Eu não  fico sem  camisa,Eu não  fico sem  camisa,u não fico sem camisa,I don't get shirtless
Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,e a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial as a proposta é segurar anos nao vi vantagem o fundo não há muita vantagem em ser cliente ultravioleta,And the box was something equal to another in the sense of flexibility would say that it was a differential the proposal is to hold years not seen the fund there is not much advantage in being an ultraviolet customer
🍇,grapes,grapes,grapes
ØŒ§ß¿,ØŒ§ß¿,,
Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,ó queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa pago sempre em dias nunca atraso estou sempre colocando dinheiro na caixinha e nada de aumento uma humilhação isso fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,O I wanted to know why you always leave your customers under analysis and never increase the limit of the person paid always in days never delay I am always putting money in the box and no increase a humiliation this made a year that you have increased limit and never but I know for you to put these analysis if you do not increase
Aumento q e bom nada,Aumento q e bom nada,umento q e bom nada,ument q is good nothing
Amo amo amo,Amo amo amo,mo amo amo,I love love
Top demais nubank parabéns,Top demais nubank parabéns,op demais nubank parabéns,Op too nubank congratulations
"@nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de 2 dias úteis para movimentação nas ações. Ja que para ser cliente ultravioleta tem que ter mais de 50 mil investidos por que nao dar a eles crédito da venda das ações em menos tempo? Enfim.... nao vi vantagem em nada....tanto que nem uso o cartão . Pago meu seguro de vida com ele, produto da Nubank e não tem cashbak....mesmo sendo feito por ele. Enfim...... fico por que gosto do app e fo atendimento. O atendimento do ultravioleta é espetacular.....esse sim.","@nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de 2 dias úteis para movimentação nas ações. Ja que para ser cliente ultravioleta tem que ter mais de 50 mil investidos por que nao dar a eles crédito da venda das ações em menos tempo? Enfim.... nao vi vantagem em nada....tanto que nem uso o cartão . Pago meu seguro de vida com ele, produto da Nubank e não tem cashbak....mesmo sendo feito por ele. Enfim...... fico por que gosto do app e fo atendimento. O atendimento do ultravioleta é espetacular.....esse sim.",nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de dias úteis para movimentação nas ações a que para ser cliente ultravioleta tem que ter mais de mil investidos por que nao dar a eles crédito da venda das ações em menos tempo nfim nao vi vantagem em nadatanto que nem uso o cartão ago meu seguro de vida com ele produto da ubank e não tem cashbakmesmo sendo feito por ele nfim fico por que gosto do app e fo atendimento atendimento do ultravioleta é espetacularesse sim,Nubank Add this to access to VIP rooms on national flights or even decrease the time of business days for handling the actions that to be an ultraviolet customer has to have more than a thousand invested why not give them credit for the sale of stocks in less time nimo I did not see anything so much that even use the life insurance with it UBANK product and has no cashbabesm being done because I like the app. Ultraviolet is spectacular yes
@nubank sou cliente a 4 anos...,@nubank sou cliente a 4 anos...,nubank sou cliente a anos,Nubank I am a client for years
💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheart,purpleheartpurpleheartpurpleheartpurpleheart
Ameiiii 💜💜💜,Ameiiii purple_heartpurple_heartpurple_heart,meiiii purpleheartpurpleheartpurpleheart,meiiii purpleheartpurpleheartpurpleheart
@nubank torcedor eu peço e vcs nunca aumentar meu limite,@nubank torcedor eu peço e vcs nunca aumentar meu limite,nubank torcedor eu peço e vcs nunca aumentar meu limite,nubank fan I ask and you never increase my limit
Eles nunca aumentar o limite de seus clientes  demora séculos para isso mesmo pagando certinho,Eles nunca aumentar o limite de seus clientes  demora séculos para isso mesmo pagando certinho,les nunca aumentar o limite de seus clientes demora séculos para isso mesmo pagando certinho,Les never increase the limit of your customers takes centuries for this to pay right
@nubank faço sempre isso e nda de aumentar  sempre na mesmo no sair do 400,@nubank faço sempre isso e nda de aumentar  sempre na mesmo no sair do 400,nubank faço sempre isso e nda de aumentar sempre na mesmo no sair do,Nubank always do this and always increase in even leaving the
"As caixinhas não tem mais como ver o rendimento diário, mudou pra ruim eim","As caixinhas não tem mais como ver o rendimento diário, mudou pra ruim eim",s caixinhas não tem mais como ver o rendimento diário mudou pra ruim eim,S boxes no longer see the daily performance changed to bad eim
Eu com cx1 cx2 cx3 super feliz 🩵 Quem diria meu Brasil #nubankbrasil💳💜,Eu com cx1 cx2 cx3 super feliz light_blue_heart Quem diria meu Brasil #nubankbrasilcredit_cardpurple_heart,u com cx cx cx super feliz lightblueheart uem diria meu rasil nubankbrasilcreditcardpurpleheart,u with cx cx cx super happy lightblueheart um would say my rasil nubankbrasilcreditcardpurpleheart
É mesmo muito bom 😄,É mesmo muito bom grinning_face_with_smiling_eyes,É mesmo muito bom grinningfacewithsmilingeyes,It's really good grinningfacewithsmilingyes
Minha experiência com o Nu sempre foi ótima agora com o ultravioleta que oferece cartão Mastercard Black com limite mais alto melhorou mais ainda 💜💜💜💜,Minha experiência com o Nu sempre foi ótima agora com o ultravioleta que oferece cartão Mastercard Black com limite mais alto melhorou mais ainda purple_heartpurple_heartpurple_heartpurple_heart,inha experiência com o u sempre foi ótima agora com o ultravioleta que oferece cartão astercard lack com limite mais alto melhorou mais ainda purpleheartpurpleheartpurpleheartpurpleheart,Inhan experience with U U has always been great now with Ultraviolet that offers Astercard Lack card with highest limit has improved even more purpleheartpurpleheartpurpleheart
Jákkjsjsb,Jákkjsjsb,ákkjsjsb,Ákkjsjsb
"Kzzzz ser n 3allslsoazz,,,😑😑🤗😬😬😑😱🤗😃 de zsmmmkkkzZMZLkkq#№","Kzzzz ser n 3allslsoazz,,,expressionless_faceexpressionless_facesmiling_face_with_open_handsgrimacing_facegrimacing_faceexpressionless_faceface_screaming_in_fearsmiling_face_with_open_handsgrinning_face_with_big_eyes de zsmmmkkkzZMZLkkq#№",zzzz ser n allslsoazzexpressionlessfaceexpressionlessfacesmilingfacewithopenhandsgrimacingfacegrimacingfaceexpressionlessfacefacescreaminginfearsmilingfacewithopenhandsgrinningfacewithbigeyes de zsmmmkkkzkkq,zzzz ser n allslsoazzexpressionlessfaceexpressionlessfacesmilingfacewithopenhandsgrimacingfacegrimacingfaceexpressionlessfacefacescreaminginfearsmilingfacewithopenhandsgrinningfacewithbigeyes de zsmmmkkkzkkq
Dkwkkk.  Look jsjJsjskkskksjdnbblálkksskskskksKsKewESsslssÁvccxxz.,Dkwkkk.  Look jsjJsjskkskksjdnbblálkksskskskksKsKewESsslssÁvccxxz.,kwkkk ook jsjsjskkskksjdnbblálkksskskskkssewsslssÁvccxxz,Kwkkk also jsjsjsksksjdnbblálkksksksswssslssávcxxz
Ms,Ms,s,s
"@christiankrentkowski Tmj meu parceiro, o mundo precisa de mais pessoas como vc","@christiankrentkowski Tmj meu parceiro, o mundo precisa de mais pessoas como vc",christiankrentkowski mj meu parceiro o mundo precisa de mais pessoas como vc,Christiankrentkowski mj my partner The world needs more people like you
Como eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais?,Como eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais?,omo eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais,omo I make for your bank advertising no longer to appear on my social networks
Será q posso pedir outro cartão nubank?  Tou cancelada no crédito.,Será q posso pedir outro cartão nubank?  Tou cancelada no crédito.,erá q posso pedir outro cartão nubank ou cancelada no crédito,ERÁ q I can order another Nubank card or canceled on credit
"@christiankrentkowski boa explicação, obrigado pela orientação","@christiankrentkowski boa explicação, obrigado pela orientação",christiankrentkowski boa explicação obrigado pela orientação,Christiankrentkowski good explanation thanks for the orientation
"Nubank tem resolvido muita coisa na minha vida financeira. Banco sem burocracias, prático sempre buscando a melhor forma  de atender seus clientes. Vocês estão de parabéns!","Nubank tem resolvido muita coisa na minha vida financeira. Banco sem burocracias, prático sempre buscando a melhor forma  de atender seus clientes. Vocês estão de parabéns!",ubank tem resolvido muita coisa na minha vida financeira anco sem burocracias prático sempre buscando a melhor forma de atender seus clientes ocês estão de parabéns,"Ubank has solved a lot in my financial life Anco without practical bureaucracies always looking for the best way to serve their customers, they are to be congratulated"
"So falta aumentar o limite pra Guardar na caixinha, 5 mil é muito pouco 🙏🙏","So falta aumentar o limite pra Guardar na caixinha, 5 mil é muito pouco folded_handsfolded_hands",o falta aumentar o limite pra uardar na caixinha mil é muito pouco foldedhandsfoldedhands,Missing the limit to use in the box a thousand is very little foldedhandsfoldhands
Amooo meu roxinho sempre me socorrendo 😍,Amooo meu roxinho sempre me socorrendo smiling_face_with_heart-eyes,mooo meu roxinho sempre me socorrendo smilingfacewithhearteyes,MOOO MY PURPOSE ALWAYS SCOPING ME SMILINGFACEWithHearteyes
Eu fiz meu cadastro no dia 16 e hoje já é dia 21 e o cadastro ainda não foi totalmente finalizada @nubank,Eu fiz meu cadastro no dia 16 e hoje já é dia 21 e o cadastro ainda não foi totalmente finalizada @nubank,u fiz meu cadastro no dia e hoje já é dia e o cadastro ainda não foi totalmente finalizada nubank,u made my registration on the day and today is already day and the registration has not yet been completely finished Nubank
Sempre curtindo 👍,Sempre curtindo thumbs_up,empre curtindo thumbsup,Empresa enjoying thumbsup
"@bell.de.melo Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️","@bell.de.melo Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm raising_handsred_heart",belldemelo e seguem aí pra mim ajuda oi aranhense crio conteúdo tbm raisinghandsredheart,BELLDEMDEL AND FOLLOW HE HELP HE HE ARANHENSE CRIE CONTENT TBM RAISINGHANDSREDHEART
"@conceicaodemaria935 Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️","@conceicaodemaria935 Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm raising_handsred_heart",conceicaodemaria e seguem aí pra mim ajuda oi aranhense crio conteúdo tbm raisinghandsredheart,Conceicaodemaria and go there for me help hi Aranhense I create content also raismhandsredheart
"Salário cai na conta, pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu","Salário cai na conta, pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu",alário cai na conta pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu,Alário falls into the payments account for days loan pay before the date and to increase a limit lasts a year and look there improvement saw
@nubank graças a Deus pq 1400 nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,@nubank graças a Deus pq 1400 nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,nubank graças a eus pq nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,Nubank thanks to Eus because you can't even buy what I just need to improve for all of us want to be faithful with you the boundary analysis
"""Guardar qualquer valor"" = limite de 5k","""Guardar qualquer valor"" = limite de 5k",uardar qualquer valor limite de k,UARDAR ANY LIMIT VALUE OF K
Pena que o limite para colocar nessa caixinha é de 5k. E ate quando vai durar essa caixinha só esse mês mesmo?,Pena que o limite para colocar nessa caixinha é de 5k. E ate quando vai durar essa caixinha só esse mês mesmo?,ena que o limite para colocar nessa caixinha é de k ate quando vai durar essa caixinha só esse mês mesmo,Ena that the limit to put in this box is K until when will last this box only this month
"@nubank obrigado por responder, bom saber disso!","@nubank obrigado por responder, bom saber disso!",nubank obrigado por responder bom saber disso,Nubank thanks for answering good to know that
"Nubank, passei vergonha no mercado porque o cartão não queria passar.","Nubank, passei vergonha no mercado porque o cartão não queria passar.",ubank passei vergonha no mercado porque o cartão não queria passar,Ubank I embarrassed the market because the card didn't want to pass
@vivinato1 (Obs: eu tinha dinheiro),@vivinato1 (Obs: eu tinha dinheiro),vivinato bs eu tinha dinheiro,vivinato bs I had money
Eu quero um carrão de créditos 😢,Eu quero um carrão de créditos crying_face,u quero um carrão de créditos cryingface,u I want a carrão of Cryingface credits
NuCel 120% CDI 🚀,NuCel 120% CDI rocket,uel rocket,uel rocket
Melhor branco do mundo,Melhor branco do mundo,elhor branco do mundo,BRY ELOR OF THE WORLD
Red bul não dá asas,Red bul não dá asas,ed bul não dá asas,Ed Bul no wings
"@nubank Fiz todos esses passos nada a ser resolvido, estou com vários protocolos de ligação no email tentando resolver essa situação, j são 7 a 8 dias sem ter acesso no meu aplicativo, Tenho compromisso dia 8  e não sei mais o que fazer, pois vcs não resolveram nada até agora, aí vai sobrar tudo pro meu lado, juro e juros se eu não pág no dia certo","@nubank Fiz todos esses passos nada a ser resolvido, estou com vários protocolos de ligação no email tentando resolver essa situação, j são 7 a 8 dias sem ter acesso no meu aplicativo, Tenho compromisso dia 8  e não sei mais o que fazer, pois vcs não resolveram nada até agora, aí vai sobrar tudo pro meu lado, juro e juros se eu não pág no dia certo",nubank iz todos esses passos nada a ser resolvido estou com vários protocolos de ligação no email tentando resolver essa situação j são a dias sem ter acesso no meu aplicativo enho compromisso dia e não sei mais o que fazer pois vcs não resolveram nada até agora aí vai sobrar tudo pro meu lado juro e juros se eu não pág no dia certo,Nubank Iz All these steps nothing to be resolved I have several connection protocols in the email trying to solve this situation already are days without access in my app commitment day and I no longer know what to do because you did not solve anything so far there will be all the interest and interest if I do not pag the right day
"@nubank  já liguei e não adianta, tô ligando todos os dias e nada é resolvido","@nubank  já liguei e não adianta, tô ligando todos os dias e nada é resolvido",nubank já liguei e não adianta tô ligando todos os dias e nada é resolvido,Nubank already called and it's no use calling every day and nothing is solved
"@igorc88 Tô achando que isso já tá virando sacanagem, não é possível, nada é resolvido","@igorc88 Tô achando que isso já tá virando sacanagem, não é possível, nada é resolvido",igorc ô achando que isso já tá virando sacanagem não é possível nada é resolvido,Igorc ô thinking that this is already becoming slutty is not possible nothing is resolved
"@leitebeatryz Se ué ti falar que o meu tá assim tem uns 8 dias, e ninguém resolve nada,  passo o dia Todo ligando e só falam que tá com problema o app que em breve volta ao normal","@leitebeatryz Se ué ti falar que o meu tá assim tem uns 8 dias, e ninguém resolve nada,  passo o dia Todo ligando e só falam que tá com problema o app que em breve volta ao normal",leitebeatryz e ué ti falar que o meu tá assim tem uns dias e ninguém resolve nada passo o dia odo ligando e só falam que tá com problema o app que em breve volta ao normal,Leitebeatryz and you say that mine is like this has a few days and nobody solves anything I spend the day by calling and only say that the app that soon returns to normal
@sandrasantosgabriel035 colega o meu está sem atualização de pagamento desde o dia 16 de Dezembro eles sujaram o meu nome por um erro do aplicativo,@sandrasantosgabriel035 colega o meu está sem atualização de pagamento desde o dia 16 de Dezembro eles sujaram o meu nome por um erro do aplicativo,sandrasantosgabriel colega o meu está sem atualização de pagamento desde o dia de ezembro eles sujaram o meu nome por um erro do aplicativo,Sandrasantantosgabriel colleague my has been without payment update since Ezembro Day they have dirty my name by an application error
"@leitebeatryz Meu Deus, tenho contas a pág dia 8 e não tenho acesso na minha conta, meu Deus como faz pra processar esse banco, alguém sabe como fazer, tá difícil o acesso, e vai sobrar tudo pro meu rabo, não vou conseguir pág minhas contas","@leitebeatryz Meu Deus, tenho contas a pág dia 8 e não tenho acesso na minha conta, meu Deus como faz pra processar esse banco, alguém sabe como fazer, tá difícil o acesso, e vai sobrar tudo pro meu rabo, não vou conseguir pág minhas contas",leitebeatryz eu eus tenho contas a pág dia e não tenho acesso na minha conta meu eus como faz pra processar esse banco alguém sabe como fazer tá difícil o acesso e vai sobrar tudo pro meu rabo não vou conseguir pág minhas contas,Leitebeatryz I Eus I have accounts for page day and I don't have access to my account my EUS as you do to process this bank someone knows how to make it difficult to access and everything will be left for my tail I won't get it for my accounts
@sandrasantosgabriel035 estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,@sandrasantosgabriel035 estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,sandrasantosgabriel estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,Sandrasantantosgabriel I'm calling at their center and always say that the problems in the app is that they will take my registration from the calls and remain the same situation
