Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en,texto_final_en_limpo,Tokens_lematizados_texto_final_en,Tokens_lematizados_sem_stopwords_texto_final_en,texto_final_en_processado_spacy
@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta isso,Nubank customers of your can not perform and receive pix or transfers of high values ​​if you do not cancel the account,nubank customers of your can not perform and receive pix or transfers of high values if you do not cancel the account,"['nubank', 'customer', 'of', 'your', 'can', 'not', 'perform', 'and', 'receive', 'pix', 'or', 'transfer', 'of', 'high', 'value', 'if', 'you', 'do', 'not', 'cancel', 'the', 'account']","['nubank', 'customer', 'perform', 'receive', 'pix', 'transfer', 'high', 'value', 'cancel', 'account']",nubank customer perform receive pix transfer high value cancel account
💜💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart,['purpleheartpurpleheartpurpleheartpurpleheartpurpleheart'],['purpleheartpurpleheartpurpleheartpurpleheartpurpleheart'],purpleheartpurpleheartpurpleheartpurpleheartpurpleheart
Devolva o meu dinheiro,Devolva o meu dinheiro,evolva o meu dinheiro,Evolve my money,evolve my money,"['evolve', 'my', 'money']","['evolve', 'money']",evolve money
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram","@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir o vc ir atrás pois não resolvem iz um ix errado ra na digitação saiu u estava em outro estado de férias les nada fizeram,Nataliasooranzo they will ask you to go behind because they do not solve iz a wrong ix ra on typing it came out u was in another state of vacation les nothing did,nataliasooranzo they will ask you to go behind because they do not solve iz a wrong ix ra on typing it came out u was in another state of vacation les nothing did,"['nataliasooranzo', 'they', 'will', 'ask', 'you', 'to', 'go', 'behind', 'because', 'they', 'do', 'not', 'solve', 'iz', 'a', 'wrong', 'ix', 'ra', 'on', 'type', 'it', 'come', 'out', 'u', 'be', 'in', 'another', 'state', 'of', 'vacation', 'le', 'nothing', 'do']","['nataliasooranzo', 'ask', 'go', 'behind', 'solve', 'iz', 'wrong', 'ix', 'ra', 'type', 'come', 'u', 'another', 'state', 'vacation', 'le', 'nothing']",nataliasooranzo ask go behind solve iz wrong ix ra type come u another state vacation le nothing
A minha liberou hj! Melhor banco de todos 💜,A minha liberou hj! Melhor banco de todos purple_heart,minha liberou hj elhor banco de todos purpleheart,my released hj elhor bank of all purpleheart,my released hj elhor bank of all purpleheart,"['my', 'release', 'hj', 'elhor', 'bank', 'of', 'all', 'purpleheart']","['release', 'hj', 'elhor', 'bank', 'purpleheart']",release hj elhor bank purpleheart
Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! 😕,Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! confused_face,empre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros reais de limite bri uma conta corrente no itau para guardar algumas economias na semana passada e já de início me deram reais de limite no cartão latinum astercard ancos digitais são uma decepção confusedface,I employed the invoices up to date and in advance and I could never leave the reais of boundary beri a checking account in Itau to save some economies last week and at the beginning gave me reais on the Latinum Astercard Digital Ancos card are a confused disappointment.,i employed the invoices up to date and in advance and i could never leave the reais of boundary beri a checking account in itau to save some economies last week and at the beginning gave me reais on the latinum astercard digital ancos card are a confused disappointment,"['I', 'employ', 'the', 'invoice', 'up', 'to', 'date', 'and', 'in', 'advance', 'and', 'I', 'could', 'never', 'leave', 'the', 'reais', 'of', 'boundary', 'beri', 'a', 'check', 'account', 'in', 'itau', 'to', 'save', 'some', 'economy', 'last', 'week', 'and', 'at', 'the', 'beginning', 'give', 'I', 'reais', 'on', 'the', 'latinum', 'astercard', 'digital', 'ancos', 'card', 'be', 'a', 'confused', 'disappointment']","['I', 'employ', 'invoice', 'date', 'advance', 'I', 'could', 'never', 'leave', 'reais', 'boundary', 'beri', 'check', 'account', 'itau', 'save', 'economy', 'last', 'week', 'beginning', 'give', 'I', 'reais', 'latinum', 'astercard', 'digital', 'ancos', 'card', 'confused', 'disappointment']",I employ invoice date advance I could never leave reais boundary beri check account itau save economy last week beginning give I reais latinum astercard digital ancos card confused disappointment
"Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank","Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank",guardando uma resposta a altura para os cofrinhos do que agora rende do com limite de mil e na conta padrão ara todos que movimentam ão nos decepcione nubank,keeping a response to the height for the piglets of what now yields from the limit of a thousand and in the standard account Ara all who move us to disappoint us nubank,keeping a response to the height for the piglets of what now yields from the limit of a thousand and in the standard account ara all who move us to disappoint us nubank,"['keep', 'a', 'response', 'to', 'the', 'height', 'for', 'the', 'piglet', 'of', 'what', 'now', 'yield', 'from', 'the', 'limit', 'of', 'a', 'thousand', 'and', 'in', 'the', 'standard', 'account', 'ara', 'all', 'who', 'move', 'we', 'to', 'disappoint', 'we', 'nubank']","['keep', 'response', 'height', 'piglet', 'yield', 'limit', 'thousand', 'standard', 'account', 'ara', 'move', 'disappoint', 'nubank']",keep response height piglet yield limit thousand standard account ara move disappoint nubank
"Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.","Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.",ão abram conta nesse banco stou passando por um absurdo com a ubank desde quartafeira inha filha menor de idade abriu a conta através do meu convite com saldo em conta e cartão ativo e repente o aplicativo dela deslogou e não conseguimos mais acessar igamos inúmeras vezes para o atendimento abrimos vários protocolos informamos todos os dados corretamente e mesmo assim dizem que os dados estão errados e desligam na nossa cara á mandaram fazer novo convite como se ela não tivesse já a conta aberta sso é um descaso total inha filha está fora de casa sem conseguir acessar o próprio dinheiro e a ubank não resolve nada éssimo suporte falta de respeito e total despreparo ecepcionante ensem muito bem antes de confiar o seu dinheiro aqui,Open this bank was going through an absurdity with Ubank since Wednesday I was a minor daughter opened the bill through my invitation with an account and active card and suddenly the application has shifted and we can no longer access the service we opened several protocols we inform all the data correctly and still say that the data is wrong and shut down in our face. The open account is a total neglect of daughter is away from home without being able to access its money and Ubank does not solve anything is such a support lack of respect and total unpreparedness and eciently teach well before trusting your money here,open this bank was going through an absurdity with ubank since wednesday i was a minor daughter opened the bill through my invitation with an account and active card and suddenly the application has shifted and we can no longer access the service we opened several protocols we inform all the data correctly and still say that the data is wrong and shut down in our face the open account is a total neglect of daughter is away from home without being able to access its money and ubank does not solve anything is such a support lack of respect and total unpreparedness and eciently teach well before trusting your money here,"['open', 'this', 'bank', 'be', 'go', 'through', 'an', 'absurdity', 'with', 'ubank', 'since', 'wednesday', 'I', 'be', 'a', 'minor', 'daughter', 'open', 'the', 'bill', 'through', 'my', 'invitation', 'with', 'an', 'account', 'and', 'active', 'card', 'and', 'suddenly', 'the', 'application', 'have', 'shift', 'and', 'we', 'can', 'no', 'long', 'access', 'the', 'service', 'we', 'open', 'several', 'protocol', 'we', 'inform', 'all', 'the', 'datum', 'correctly', 'and', 'still', 'say', 'that', 'the', 'data', 'be', 'wrong', 'and', 'shut', 'down', 'in', 'our', 'face', 'the', 'open', 'account', 'be', 'a', 'total', 'neglect', 'of', 'daughter', 'be', 'away', 'from', 'home', 'without', 'be', 'able', 'to', 'access', 'its', 'money', 'and', 'ubank', 'do', 'not', 'solve', 'anything', 'be', 'such', 'a', 'support', 'lack', 'of', 'respect', 'and', 'total', 'unpreparedness', 'and', 'eciently', 'teach', 'well', 'before', 'trust', 'your', 'money', 'here']","['open', 'bank', 'go', 'absurdity', 'ubank', 'since', 'wednesday', 'I', 'minor', 'daughter', 'open', 'bill', 'invitation', 'account', 'active', 'card', 'suddenly', 'application', 'shift', 'long', 'access', 'service', 'open', 'several', 'protocol', 'inform', 'datum', 'correctly', 'still', 'say', 'data', 'wrong', 'shut', 'face', 'open', 'account', 'total', 'neglect', 'daughter', 'away', 'home', 'without', 'able', 'access', 'money', 'ubank', 'solve', 'anything', 'support', 'lack', 'respect', 'total', 'unpreparedness', 'eciently', 'teach', 'well', 'trust', 'money']",open bank go absurdity ubank since wednesday I minor daughter open bill invitation account active card suddenly application shift long access service open several protocol inform datum correctly still say data wrong shut face open account total neglect daughter away home without able access money ubank solve anything support lack respect total unpreparedness eciently teach well trust money
"@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.","@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.",nubank reocupados a equipe de vocês não resolvem nada tudo isso já fiz,Nubank reoccuped your team doesn't solve all of this I've done,nubank reoccuped your team doesnt solve all of this ive done,"['nubank', 'reoccupe', 'your', 'team', 'do', 'not', 'solve', 'all', 'of', 'this', 'I', 've', 'do']","['nubank', 'reoccupe', 'team', 'solve', 'I']",nubank reoccupe team solve I
"Mínimo R$50,00 só na Sivra 🤭","Mínimo R$50,00 só na Sivra face_with_hand_over_mouth",ínimo só na ivra facewithhandovermouth,just in Ivra FaceWithhandoverout,just in ivra facewithhandoverout,"['just', 'in', 'ivra', 'facewithhandoverout']","['ivra', 'facewithhandoverout']",ivra facewithhandoverout
"Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank","Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank",e você quer um relacionamento duradouro e não se ilude com qualquer promessa qui na u somos transparentes com relação ao seu dinheiro orque dinheiro não se brinca emetraiuda elacionamentoério uank,And you want a lasting relationship and don't deceive yourself with any promise qui in u We are transparent about your money orque money you don't play emetrauda elacation,and you want a lasting relationship and dont deceive yourself with any promise qui in u we are transparent about your money orque money you dont play emetrauda elacation,"['and', 'you', 'want', 'a', 'last', 'relationship', 'and', 'do', 'not', 'deceive', 'yourself', 'with', 'any', 'promise', 'qui', 'in', 'u', 'we', 'be', 'transparent', 'about', 'your', 'money', 'orque', 'money', 'you', 'do', 'not', 'play', 'emetrauda', 'elacation']","['want', 'last', 'relationship', 'deceive', 'promise', 'qui', 'u', 'transparent', 'money', 'orque', 'money', 'play', 'emetrauda', 'elacation']",want last relationship deceive promise qui u transparent money orque money play emetrauda elacation
"@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????","@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????",nubank é deveria dá crédito pras pessoas que já pagaramfaz anos que paguei e nada,Nubank is should give credit to people who have already paid for years that I paid and nothing,nubank is should give credit to people who have already paid for years that i paid and nothing,"['nubank', 'be', 'should', 'give', 'credit', 'to', 'people', 'who', 'have', 'already', 'pay', 'for', 'year', 'that', 'I', 'pay', 'and', 'nothing']","['nubank', 'give', 'credit', 'people', 'already', 'pay', 'year', 'I', 'pay', 'nothing']",nubank give credit people already pay year I pay nothing
Conseguiu resolver?,Conseguiu resolver?,onseguiu resolver,It was to resolve,it was to resolve,"['it', 'be', 'to', 'resolve']",['resolve'],resolve
Essa caixinha é muito top 💜,Essa caixinha é muito top purple_heart,ssa caixinha é muito top purpleheart,ssa box is very top purpleheart,ssa box is very top purpleheart,"['ssa', 'box', 'be', 'very', 'top', 'purpleheart']","['ssa', 'box', 'top', 'purpleheart']",ssa box top purpleheart
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,['clappinghandsclappinghandsclappinghand'],['clappinghandsclappinghandsclappinghand'],clappinghandsclappinghandsclappinghand
quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta nubank,I want my money back Nubank,i want my money back nubank,"['I', 'want', 'my', 'money', 'back', 'nubank']","['I', 'want', 'money', 'back', 'nubank']",I want money back nubank
"@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o","@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o",nubank minha conta foi bloqueada faz três dias e nada do meu estorno quero meu dinheiro pois preciso pagar meu aluguel caso nao for resolvido irei abrir uma reclamação no reclame aqui e um bo,Nubank my account has been blocked three days ago and nothing of my reversal I want my money because I need to pay my rent if I am not resolved I will open a complaint in the complaint here and a bo,nubank my account has been blocked three days ago and nothing of my reversal i want my money because i need to pay my rent if i am not resolved i will open a complaint in the complaint here and a bo,"['nubank', 'my', 'account', 'have', 'be', 'block', 'three', 'day', 'ago', 'and', 'nothing', 'of', 'my', 'reversal', 'I', 'want', 'my', 'money', 'because', 'I', 'need', 'to', 'pay', 'my', 'rent', 'if', 'I', 'be', 'not', 'resolve', 'I', 'will', 'open', 'a', 'complaint', 'in', 'the', 'complaint', 'here', 'and', 'a', 'bo']","['nubank', 'account', 'block', 'three', 'day', 'ago', 'nothing', 'reversal', 'I', 'want', 'money', 'I', 'need', 'pay', 'rent', 'I', 'resolve', 'I', 'open', 'complaint', 'complaint', 'bo']",nubank account block three day ago nothing reversal I want money I need pay rent I resolve I open complaint complaint bo
I,I,,,,[],[],
Eu não  fico sem  camisa,Eu não  fico sem  camisa,u não fico sem camisa,I don't get shirtless,i dont get shirtless,"['I', 'do', 'not', 'get', 'shirtless']","['I', 'get', 'shirtless']",I get shirtless
Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,e a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial as a proposta é segurar anos nao vi vantagem o fundo não há muita vantagem em ser cliente ultravioleta,And the box was something equal to another in the sense of flexibility would say that it was a differential the proposal is to hold years not seen the fund there is not much advantage in being an ultraviolet customer,and the box was something equal to another in the sense of flexibility would say that it was a differential the proposal is to hold years not seen the fund there is not much advantage in being an ultraviolet customer,"['and', 'the', 'box', 'be', 'something', 'equal', 'to', 'another', 'in', 'the', 'sense', 'of', 'flexibility', 'would', 'say', 'that', 'it', 'be', 'a', 'differential', 'the', 'proposal', 'be', 'to', 'hold', 'year', 'not', 'see', 'the', 'fund', 'there', 'be', 'not', 'much', 'advantage', 'in', 'be', 'an', 'ultraviolet', 'customer']","['box', 'something', 'equal', 'another', 'sense', 'flexibility', 'would', 'say', 'differential', 'proposal', 'hold', 'year', 'see', 'fund', 'much', 'advantage', 'ultraviolet', 'customer']",box something equal another sense flexibility would say differential proposal hold year see fund much advantage ultraviolet customer
🍇,grapes,grapes,grapes,grapes,['grape'],['grape'],grape
ØŒ§ß¿,ØŒ§ß¿,,,,[],[],
Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,ó queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa pago sempre em dias nunca atraso estou sempre colocando dinheiro na caixinha e nada de aumento uma humilhação isso fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,O I wanted to know why you always leave your customers under analysis and never increase the limit of the person paid always in days never delay I am always putting money in the box and no increase a humiliation this made a year that you have increased limit and never but I know for you to put these analysis if you do not increase,o i wanted to know why you always leave your customers under analysis and never increase the limit of the person paid always in days never delay i am always putting money in the box and no increase a humiliation this made a year that you have increased limit and never but i know for you to put these analysis if you do not increase,"['o', 'I', 'want', 'to', 'know', 'why', 'you', 'always', 'leave', 'your', 'customer', 'under', 'analysis', 'and', 'never', 'increase', 'the', 'limit', 'of', 'the', 'person', 'pay', 'always', 'in', 'day', 'never', 'delay', 'I', 'be', 'always', 'put', 'money', 'in', 'the', 'box', 'and', 'no', 'increase', 'a', 'humiliation', 'this', 'make', 'a', 'year', 'that', 'you', 'have', 'increase', 'limit', 'and', 'never', 'but', 'I', 'know', 'for', 'you', 'to', 'put', 'these', 'analysis', 'if', 'you', 'do', 'not', 'increase']","['I', 'want', 'know', 'always', 'leave', 'customer', 'analysis', 'never', 'increase', 'limit', 'person', 'pay', 'always', 'day', 'never', 'delay', 'I', 'always', 'put', 'money', 'box', 'increase', 'humiliation', 'make', 'year', 'increase', 'limit', 'never', 'I', 'know', 'put', 'analysis', 'increase']",I want know always leave customer analysis never increase limit person pay always day never delay I always put money box increase humiliation make year increase limit never I know put analysis increase
Aumento q e bom nada,Aumento q e bom nada,umento q e bom nada,ument q is good nothing,ument q is good nothing,"['ument', 'q', 'be', 'good', 'nothing']","['ument', 'q', 'good', 'nothing']",ument q good nothing
Amo amo amo,Amo amo amo,mo amo amo,I love love,i love love,"['I', 'love', 'love']","['I', 'love', 'love']",I love love
Top demais nubank parabéns,Top demais nubank parabéns,op demais nubank parabéns,Op too nubank congratulations,op too nubank congratulations,"['op', 'too', 'nubank', 'congratulation']","['op', 'nubank', 'congratulation']",op nubank congratulation
